user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes,vi,in,en,ja,und,zh,ko,es,pt,tr,ht,de,fr,fa,ar,th,nl,it,bn,hi
alef_mim_pe,fa,#btc,902928221263581184,0.79,0.08,0.55,0.04,0.79,0.79,0.07,0.17,0.5971113297944481,0.00011030969977975918,0.00021573100258749552,0.015055889285985856,0.00038432690102342535,0.00013047205276436137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sohylasamurai2,en,#btc,1448905812659916818,0.79,0.18,0.37,0.08,0.79,0.79,0.15,0.14,0.9855717885878839,0.004760317117648735,0.011848610449805523,0.011329936886928751,0.00691581794476024,0.008909899902328865,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carlosa55090665,en,#btc,1695096985,0.92,0.07,0.73,0.02,0.92,0.92,0.57,0.33,0.7328050238291242,0.001426978466846602,0.0006982536000908878,0.002737434415633792,6.198820984248796e-06,8.535554853743267e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1988Sajad_,en,#btc,1459186944680857600,0.75,0.35,0.4,0.29,0.75,0.75,0.06,0.19,0.9766651211642364,0.004522221499734297,0.0013850185669078854,0.03950269941449319,0.0002438202920471193,0.010146335991142532,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wasabi_Erase,en,#btc,33967476,0.75,0.46,0.5,0.39,0.75,0.75,0.04,0.03,0.9787994915612414,0.005712699589306488,0.027565060768487446,0.09482168656375942,0.0029547713358252592,0.03573958753760217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mehmet32963439,und,#btc,1259481297694740480,0.79,0.32,0.49,0.23,0.79,0.79,0.16,0.17,0.9799163536235724,0.020474627900001652,0.01015978135854365,0.007946163789825869,0.00010951250405506206,0.00899769418082451,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coinhun40030213,en,#btc,1435550065523896321,0.71,0.43,0.48,0.28,0.71,0.71,0.0,0.19,0.9854063567461181,0.005950795207220926,0.009323664159166078,0.10208349174967683,2.4795283936995185e-05,0.002604563595370803,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KaganOzugur,tr,#btc,1206967097206722561,0.99,0.07,0.99,0.11,0.75,0.99,0.54,0.56,0.9792104690442172,4.3571498078342175e-06,1.914772212315049e-05,0.018667781917724887,1.2397641968497592e-05,0.00032678981440045654,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wG7GsKut6gAPg6b,en,#btc,1422677768232480770,0.88,0.03,0.88,0.61,0.54,0.88,0.02,0.38,0.9789319631981176,0.00010078587506318164,0.0001021211846568026,0.002167135579043419,0.0,2.316793460301744e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25thNero,en,#btc,1395090377598713862,0.85,0.1,0.85,0.2,0.72,0.85,0.71,0.72,0.5973420512286745,8.880966548208542e-06,1.5318177698520393e-05,0.0009885179834233139,4.13254732283253e-06,2.4387299582123623e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gu_wdx,ja,#btc,1433345746175074310,0.84,0.16,0.47,0.3,0.84,0.84,0.12,0.15,0.9830873145791345,0.001069835039974945,0.0008629240103499821,0.00045623906927229867,1.0331368307081327e-05,0.0008303875507713093,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best88Fx,ko,#btc,1379311984898809857,0.97,0.02,0.28,0.04,0.86,0.97,0.97,0.82,0.9855195884547815,0.0009984063546006133,0.0008450528030350416,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JimmyColas10,fr,#btc,1311403685256278017,0.79,0.04,0.79,0.44,0.72,0.79,0.06,0.34,0.9758488435541509,1.2452400816925112e-05,2.425378135599062e-05,0.0044863508478442705,2.066273661416265e-06,0.0002182663312600064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ixodius,es,#btc,1300974436305309697,0.9,0.12,0.4,0.04,0.9,0.9,0.78,0.17,0.9813777996461115,0.08809378338770207,0.02237092201388082,0.003269713329784807,0.005514884402320012,0.00018778220678235187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
redhotchilicoin,tr,#btc,1352687578030469122,0.85,0.1,0.45,0.03,0.85,0.85,0.22,0.25,0.9790144425625061,0.005950795207220926,0.0006242157412147059,0.00406813170101133,0.00022935637641720546,0.0007755161267115312,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
veriyoksa,tr,#btc,1309493965562040321,0.82,0.11,0.82,0.2,0.69,0.82,0.04,0.29,0.9795187810086138,0.00021983368402040074,8.042043291723206e-05,0.008478442703976885,4.13254732283253e-06,9.511046837028212e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
yermawsdadsdug,en,#btc,1296532130110087169,0.765,0.04,0.765,0.22,0.69,0.765,0.63,0.55,0.9272875801532255,4.3571498078342175e-06,1.914772212315049e-05,0.00022811953463614933,8.26509464566506e-06,3.292285443586689e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PantonialJimbo,en,#btc,1455407266522230784,0.93,0.09,0.93,0.67,0.83,0.93,0.58,0.44,0.7262713334531886,3.6500058226283366e-05,8.935603657470229e-06,0.0017869363546498364,0.0,1.2193649791061811e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TeknikBilim1,en,#btc,1142573516002332677,0.77,0.09,0.58,0.1,0.77,0.77,0.12,0.39,0.9377048973502519,1.1500018345267363e-05,8.935603657470228e-05,0.0019390160444072693,2.272901027557892e-05,7.316189874637086e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZStrankova,en,#btc,1453836427662331904,0.75,0.04,0.67,0.67,0.75,0.75,0.31,0.41,0.6205135483789572,5.792866383858279e-05,1.2765148082100326e-05,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ercan49102273,en,#btc,1458174980118753285,0.82,0.23,0.64,0.4,0.82,0.82,0.1,0.33,0.7450047153594554,0.0006888820513118438,0.00018509464719045472,0.006273287202494107,2.066273661416265e-06,0.00016827236711665299,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axlwincityx,en,#btc,1441034563472424963,0.72,0.4,0.55,0.33,0.72,0.72,0.02,0.17,0.972160927806112,0.004046030263905421,0.006863820123745345,0.06147821458444225,5.9921936181071695e-05,0.0016705300213754682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
