user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes
itstechgraph,en,#btc,3277840789,0.76,0.17,0.5,0.02,0.76,0.76,0.07,0.05,Sat Dec 11 10:49:50 +0000 2021,31,3627,2357,1028,618
btcnewse,en,#btc,1437890893802049545,0.88,0.02,0.44,0.03,0.88,0.88,0.81,0.31,Sun Dec 12 22:50:05 +0000 2021,72,419,25,195,55
TWS_SQUAD,en,#btc,2267703020,0.71,0.18,0.37,0.15,0.71,0.71,0.17,0.16,Sun Dec 12 12:59:33 +0000 2021,69,1761,234,95,1534
printerbroke,en,#btc,1451535108603846723,0.8,0.08,0.73,0.31,0.8,0.8,0.14,0.45,Sun Dec 12 20:20:42 +0000 2021,9.0,56,14,0,23
Memoli83754958,en,#btc,1354786526761263105,0.91,0.17,0.54,0.32,0.91,0.91,0.06,0.12,Sun Dec 12 18:43:53 +0000 2021,60,789,29,4,842
elkadi32,en,#btc,2567106069,0.74,0.06,0.74,0.07,0.41,0.74,0.0,0.35,Mon Dec 06 15:22:20 +0000 2021,0.91,207,662,63,178
JamesB0R,en,#btc,1395115357673861125,0.84,0.26,0.54,0.32,0.84,0.84,0.06,0.16,Sun Dec 12 19:29:13 +0000 2021,26,1547,689,9,1399
Emilian85200336,en,#btc,1404211115068997633,0.82,0.14,0.36,0.4,0.82,0.82,0.03,0.11,Fri Dec 10 17:38:09 +0000 2021,13,342,48,16,794
miss_Gecko1984,en,#btc,1426250208640475142,0.71,0.19,0.45,0.01,0.71,0.71,0.04,0.22,Mon Dec 13 00:23:38 +0000 2021,260,5055,524,685,9483
novelteesandswg,en,#btc,1372443804330954755,0.8,0.48,0.77,0.03,0.8,0.8,0.36,0.16,Mon Dec 13 01:02:55 +0000 2021,7.7,309,3013,1298,155
DragonBallTee,in,#btc,1575636434,0.85,0.25,0.77,0.08,0.85,0.85,0.83,0.37,Mon Dec 13 07:20:22 +0000 2021,10000,74008,2385,658,123
kienZtoOotZ,en,#btc,1430572243512221704,0.93,0.01,0.93,0.3,0.63,0.93,0.26,0.53,Tue Nov 30 04:24:17 +0000 2021,1.5,21,32,1,7
OdinWolfdog,en,#btc,1448681694916141062,0.71,0.04,0.69,0.38,0.71,0.71,0.06,0.52,Thu Nov 18 23:43:40 +0000 2021,3.7,21,2,1,162
lordkaido5,en,#btc,1352342730341552130,0.72,0.11,0.72,0.12,0.58,0.72,0.05,0.32,Sat Nov 20 12:26:52 +0000 2021,5.0,190,84,2,73
tta_turker,tr,#btc,1378278753567178752,0.94,0.11,0.94,0.13,0.78,0.94,0.45,0.44,Sun Dec 12 13:55:23 +0000 2021,0.52,19,54,1,40
xD6QWy5pqSCSkZm,en,#btc,1431578693680259074,0.78,0.28,0.47,0.37,0.78,0.78,0.14,0.05,Mon Dec 13 00:36:41 +0000 2021,330,11594,75,60,11560
